order_id,customer_id,order_total_usd,make,model,delivery_city,delivery_company,delivery_address
1,535,190899.73,Dodge,Ram Wagon B350,Sheffield,DuBuque LLC,2810 Northland Avenue
2,671,33245.53,Volkswagen,Cabriolet,Edinburgh,Bechtelar-VonRueden,1 Macpherson Crossing
3,695,155664.90,Toyota,Avalon,Brighton,"Jacobs, Ebert and Dooley",4 Loomis Crossing
4,366,149012.91,Hyundai,Santa Fe,Leeds,Kiehn Group,538 Burning Wood Alley
5,175,63274.18,Kia,Sportage,Leeds,Miller-Hudson,6 Kennedy Court
6,37,97790.04,BMW,3 Series,Bristol,Price Group,21611 Morning Trail
7,644,76240.84,Mazda,MPV,Leeds,Kihn and Sons,9 Susan Street
8,973,216233.98,Hyundai,Elantra,Sheffield,"Feeney, Howe and Koss",07671 Hazelcrest Terrace
9,463,162589.10,Chrysler,Grand Voyager,York,"Fay, Murazik and Schumm",42080 Pawling Circle
10,863,111208.24,Ford,Laser,Leeds,"Boehm, Mohr and Doyle",0919 International Trail
11,631,115753.95,Kia,Sorento,Leeds,"Herzog, Towne and Toy",08 Declaration Park
12,922,162480.39,GMC,Yukon XL 1500,Leeds,Hammes-Kuhlman,5 West Park
13,704,136123.75,Audi,TT,Bristol,Witting-Daniel,9696 Katie Point
14,666,49901.72,Saturn,S-Series,London,Hickle-Cummerata,54140 Northport Point
15,683,193888.24,Toyota,Prius,Leeds,"Monahan, Johns and Schiller",4706 Dorton Hill
16,708,15363.86,Toyota,Prius,Leeds,Abernathy Inc,391 Washington Pass
17,359,107546.23,Jaguar,XJ Series,Sheffield,West-Fritsch,876 Petterle Lane
18,339,105038.49,Ford,Windstar,London,"Watsica, Quigley and Smith",572 Bartelt Place
19,58,97888.57,Buick,Century,Brighton,Crona-Volkman,12 Golf Course Street
20,111,116873.53,Ford,F250,Swindon,Kuhic-Homenick,614 Elmside Terrace
21,811,140427.90,Chevrolet,Astro,York,Beer-Baumbach,3 Menomonie Alley
22,687,199641.90,Volvo,S90,London,Tremblay-Lesch,3301 Surrey Drive
23,560,47245.21,Audi,S4,Brighton,Nienow-Wehner,1 Golf Hill
24,355,196834.38,Volvo,C70,Sheffield,"Kerluke, Cole and Rippin",5 Pennsylvania Place
25,243,193988.10,Mitsubishi,Lancer Evolution,York,"Thiel, Tremblay and Moore",62 Dwight Trail
26,358,149144.17,Jaguar,X-Type,Bristol,Langworth-Beier,43 Kropf Street
27,542,206976.61,Chevrolet,Cruze,Sheffield,"Durgan, Kassulke and Conroy",04 Waxwing Point
28,64,31888.16,Mitsubishi,Lancer Evolution,Exeter,Gulgowski-D'Amore,1907 Lien Trail
29,489,46642.65,GMC,Rally Wagon 1500,London,"Considine, Koss and Schamberger",329 Coolidge Circle
30,719,91181.23,Dodge,Viper,York,Ryan-Heathcote,429 Fallview Drive
31,112,171573.80,Scion,tC,Sheffield,"Friesen, Klocko and Rolfson",70 Chinook Place
32,494,162390.66,BMW,7 Series,Sheffield,"Wehner, Boyer and Cassin",08 Prairieview Trail
33,289,188612.64,Isuzu,Rodeo,London,"Bruen, Gutkowski and Runolfsdottir",2 Nelson Crossing
34,388,213200.06,Ford,F350,London,Johnston-McLaughlin,491 Cascade Way
35,996,51999.59,BMW,M Roadster,London,"Kihn, Stiedemann and Ryan",419 Daystar Terrace
36,873,201259.04,Ford,Windstar,Leeds,Johnston and Sons,54654 Farmco Alley
37,940,107280.40,Chrysler,Sebring,London,O'Kon-Dickinson,23 Calypso Park
38,28,141623.67,Toyota,Previa,Leeds,Hoeger-Rippin,698 Londonderry Park
39,588,61361.95,Cadillac,Eldorado,York,Kautzer Inc,58 Garrison Hill
40,972,186034.71,Subaru,Forester,London,Emmerich Group,83715 Jana Park
41,275,148871.77,Pontiac,Vibe,Brighton,Langosh-Dach,8 Vidon Plaza
42,421,33476.50,Toyota,RAV4,York,"Ankunding, Konopelski and Mayert",03893 Victoria Pass
43,560,95556.13,Cadillac,DeVille,York,Collins-Labadie,74 Monument Road
44,240,16979.73,Chevrolet,Blazer,London,Medhurst-Gleichner,2139 Dottie Trail
45,123,111166.44,Porsche,911,London,Beahan Group,578 Mayfield Alley
46,719,151117.72,Acura,NSX,York,Feeney Group,8479 American Ash Circle
47,415,143826.05,GMC,3500,York,Pagac-Boyer,0 Hintze Pass
48,744,12368.78,Audi,100,Leeds,Dietrich and Sons,60 Eagan Hill
49,486,203625.12,Toyota,Highlander,London,Johns-Cummerata,1 Spohn Point
50,866,162201.82,Mitsubishi,Truck,Swindon,"Mills, Ziemann and Watsica",775 Prairie Rose Point
51,578,217634.03,Honda,CR-V,London,Jerde Group,23040 American Ash Lane
52,627,98231.21,Lotus,Evora,Exeter,McKenzie and Sons,36352 Mallard Drive
53,923,81959.45,Lotus,Esprit,Sheffield,Jast-Hegmann,050 Mariners Cove Circle
54,817,208809.93,Dodge,Ram 2500 Club,London,"Jaskolski, Gutmann and Gerlach",76 Stone Corner Circle
55,382,110757.12,Mercury,Mystique,Leeds,Ortiz-Wiegand,8 Loomis Court
56,70,145858.18,Oldsmobile,Alero,Swindon,Funk and Sons,206 Hovde Road
57,701,109840.78,Mitsubishi,Pajero,Leeds,"Rath, Hirthe and Wilderman",9 Everett Center
58,541,159223.36,BMW,X3,London,Powlowski Group,055 Gale Center
59,185,39931.57,Ford,E250,Sheffield,McDermott Group,91864 Northwestern Pass
60,851,193488.39,Mercedes-Benz,S-Class,London,Shanahan LLC,8126 Bluestem Court
61,349,150274.92,Lexus,RX,York,"Wilkinson, Borer and Weissnat",391 Waubesa Center
62,580,45462.58,Land Rover,LR3,Leeds,Krajcik-Dach,47626 Declaration Street
63,457,55272.91,Ford,Mustang,York,Skiles Inc,5 Portage Drive
64,3,69836.45,Infiniti,QX,Leeds,Bradtke and Sons,2275 Arrowood Point
65,364,148963.99,Ford,Bronco II,York,"Funk, Waters and Welch",68 Mandrake Center
66,268,179623.29,Chrysler,LeBaron,Leeds,"Predovic, Hermiston and Wilkinson",31 Becker Lane
67,273,156845.90,Mercury,Cougar,London,"Rowe, Roberts and Bradtke",1 Forest Court
68,529,41892.21,Mazda,MPV,York,"Langosh, Volkman and Pfannerstill",4 Rutledge Street
69,279,77842.37,Mazda,929,Sheffield,Abshire-Cormier,45 Sundown Trail
70,178,12981.51,Hummer,H2,Sheffield,Gaylord and Sons,43 Kennedy Circle
71,471,86688.10,Chevrolet,Corvette,Sheffield,Weissnat Inc,13 Miller Alley
72,639,107038.70,Pontiac,Firefly,Sheffield,"Dietrich, Moen and Howe",8 Stang Pass
73,212,184263.83,Toyota,Matrix,London,Grady and Sons,2 Hermina Terrace
74,48,58498.38,Volvo,C70,London,"Hilpert, Kautzer and Balistreri",768 Reindahl Center
75,642,173389.51,Oldsmobile,Ciera,Leeds,Fahey LLC,47 Pond Point
76,430,164862.22,Hummer,H2 SUT,Leeds,Heller-Senger,0 Truax Place
77,729,147742.06,Buick,LeSabre,Leeds,Trantow Inc,79336 Manley Place
78,760,191636.50,Toyota,Sienna,Edinburgh,"Monahan, Fadel and Dickinson",39 Hayes Park
79,276,124279.67,Buick,LeSabre,London,Weissnat and Sons,3 Petterle Lane
80,730,205484.89,Oldsmobile,88,Leeds,"Yost, Huel and Jones",9609 Fisk Alley
81,713,180118.91,Chrysler,Grand Voyager,London,Pagac-O'Kon,20376 Sachs Junction
82,853,124580.01,Mercedes-Benz,SL-Class,Bath,"Schuppe, Medhurst and Greenholt",52768 Ruskin Circle
83,7,172596.45,Chrysler,Sebring,London,Kunde-Kohler,8151 Eagan Drive
84,692,177761.44,Ford,F350,Leeds,"Crooks, Hessel and Bashirian",0 Cambridge Hill
85,646,110672.29,Honda,Ridgeline,York,Murazik-Kuhlman,70345 Loftsgordon Pass
86,803,10982.16,Porsche,Boxster,Bradford,Medhurst-Feest,15591 Artisan Avenue
87,638,66810.82,Audi,RS 4,Bristol,Johns Inc,53768 Northwestern Court
88,705,204995.62,Pontiac,Trans Sport,Sheffield,Botsford-Paucek,3766 John Wall Place
89,768,60927.46,Volkswagen,Jetta,Leeds,O'Connell Inc,58268 Fallview Alley
90,136,21121.30,Mitsubishi,Mighty Max Macro,London,Leannon-Schuster,10735 Ridgeway Road
91,7,142117.12,Honda,Civic,Sheffield,Wolff-Schoen,9 Manufacturers Lane
92,693,197866.28,Mercury,Mountaineer,Edinburgh,Rath-Dickens,0111 Lien Alley
93,516,168045.47,Chevrolet,Traverse,London,Farrell-Douglas,10 Hoffman Terrace
94,404,210451.97,Acura,TSX,York,"Beahan, Armstrong and Robel",3 Cardinal Drive
95,648,118991.13,GMC,Suburban 2500,Bath,"Abbott, Effertz and Herzog",28 Farwell Lane
96,303,51529.56,Volkswagen,rio,London,Grant-Brown,27 Stoughton Center
97,833,186694.41,Mercury,Milan,Leeds,"Schaefer, Aufderhar and Witting",097 Spohn Drive
98,720,24882.24,Porsche,Cayenne,Bradford,"Cartwright, Considine and Hansen",489 Nova Road
99,229,123798.71,GMC,1500 Club Coupe,London,"Borer, Lockman and Jerde",2 Superior Pass
100,963,106497.20,Infiniti,Q,London,Hayes LLC,8878 Bayside Street
101,705,158329.46,Honda,CR-V,Bath,"Feeney, Huels and Moore",54 Arapahoe Plaza
102,531,214253.47,Lotus,Esprit,Sheffield,Barrows and Sons,52473 Canary Place
103,788,119912.10,Land Rover,Defender 110,York,Rodriguez Inc,82 Claremont Circle
104,955,203320.85,Lincoln,Navigator,Leeds,"Skiles, VonRueden and Mills",62744 Sauthoff Court
105,477,81427.94,Mitsubishi,Montero Sport,London,"Kuphal, McLaughlin and Schuster",09 Debs Place
106,298,93109.55,Volvo,C30,London,Zulauf LLC,65906 Golf Park
107,391,95280.47,Mitsubishi,Mighty Max,York,"Gibson, Moen and Cronin",441 Moose Alley
108,225,188757.80,Kia,Rondo,Leeds,Lakin Inc,05 Talisman Road
109,754,67059.12,Dodge,Ram 2500,London,Stoltenberg LLC,4271 Maryland Drive
110,895,208010.56,Pontiac,Grand Prix,London,"Graham, O'Reilly and Kris",6191 Lighthouse Bay Junction
111,689,56875.00,Ram,Dakota,York,"Schamberger, Ortiz and Mueller",9751 Pierstorff Trail
112,378,11695.46,Honda,CR-V,Exeter,"Yost, Morar and O'Hara",8 Hallows Pass
113,788,36872.87,Pontiac,GTO,London,Farrell Inc,85156 Burrows Junction
114,967,161405.93,Chevrolet,Lumina,London,Bode-Grant,6486 Stuart Point
115,138,218987.58,Pontiac,LeMans,London,Treutel and Sons,239 Comanche Road
116,740,56217.29,Nissan,Sentra,London,"Hintz, Hauck and Yundt",1714 Welch Alley
117,741,104226.72,Panoz,Esperante,London,"Wintheiser, Stroman and Herman",2039 Moose Terrace
118,347,23508.71,Volkswagen,Golf,York,Kling-Stiedemann,673 Fairfield Lane
119,258,27767.40,Audi,A6,Bristol,Green Inc,929 Fairview Place
120,560,20684.83,Chevrolet,Express 3500,York,"Corkery, Stiedemann and Kulas",2 Northridge Point
121,279,77878.25,Infiniti,G,London,"Lemke, Rowe and Crist",192 Bashford Point
122,870,92472.79,GMC,Yukon Denali,York,"Daugherty, Anderson and Fay",27474 Mcguire Way
123,940,171333.83,Chevrolet,Tahoe,York,"Schiller, McLaughlin and Krajcik",383 Lillian Place
124,482,207724.28,Hyundai,Veloster,York,"Koss, Braun and Reichert",93 Melrose Alley
125,781,196288.28,Ford,Expedition,York,Abshire Inc,33 Rigney Road
126,443,60456.13,GMC,Yukon XL 2500,Sheffield,"Lesch, Quigley and Jacobs",1042 Debs Center
127,794,10378.48,Mazda,MX-5,Leeds,"Haag, Wiegand and Muller",30617 Becker Hill
128,53,104073.31,Subaru,Legacy,York,Kirlin-Brown,6402 Raven Lane
129,729,52839.28,Honda,CR-V,York,Wilderman Group,56173 Hovde Avenue
130,516,208505.99,Jaguar,XK Series,York,O'Keefe-Ratke,036 Dapin Alley
131,964,95389.66,Mitsubishi,Mirage,Edinburgh,Kuhic-Rippin,7114 La Follette Trail
132,808,200813.29,Geo,Metro,London,Marvin and Sons,05255 Graedel Alley
133,209,175546.94,Mitsubishi,Tredia,London,Lakin-Runolfsson,661 Superior Trail
134,140,102656.68,Chrysler,300M,London,Pfannerstill Inc,2 Golden Leaf Place
135,921,129604.06,Ford,F250,Leeds,Skiles-Klein,6880 Artisan Lane
136,141,56649.92,Chevrolet,1500,York,"Lehner, Rosenbaum and O'Conner",4 Colorado Road
137,837,101145.85,Dodge,Ram Van B150,Sheffield,Leannon-Monahan,29370 Lakewood Hill
138,894,180782.31,Oldsmobile,Alero,London,Cummerata Group,6222 Claremont Plaza
139,198,81414.85,GMC,Canyon,London,Gottlieb-Dickinson,20 Di Loreto Alley
140,866,68467.86,Jaguar,X-Type,York,"Davis, Hane and Roob",6470 Derek Point
141,879,93493.68,Mercedes-Benz,CL-Class,London,"Baumbach, Rippin and McLaughlin",7552 Loomis Street
142,104,166016.41,Mercedes-Benz,CLS-Class,London,Bradtke Group,4264 Portage Hill
143,143,39684.50,Mazda,B2600,London,Huels-Rohan,4508 Golden Leaf Lane
144,959,118434.32,Ford,Windstar,Exeter,Kulas LLC,9 Talisman Circle
145,405,188293.08,Lexus,RX,York,Rowe-O'Keefe,379 Roth Park
146,975,100337.78,Mercedes-Benz,SLK55 AMG,Exeter,West-Rempel,8 Jana Avenue
147,951,179509.64,Suzuki,Swift,Sheffield,Schulist-Grant,39 School Way
148,827,195835.17,BMW,545,London,"Barrows, Nikolaus and Fisher",21577 Division Plaza
149,918,121661.71,Ford,F250,London,Welch-Glover,0 Texas Hill
150,439,125358.38,Cadillac,XLR,Bristol,"Rempel, Dietrich and Collier",556 Golf Park
151,710,136593.82,Mercury,Grand Marquis,London,Russel-Renner,92462 Pearson Circle
152,231,43837.83,Dodge,D250 Club,London,Doyle Inc,0130 Ilene Junction
153,359,128742.49,Ford,F450,London,Kautzer-Bogisich,77894 Sauthoff Plaza
154,229,79436.31,Maserati,Quattroporte,Leeds,Bernier and Sons,994 Washington Road
155,260,135419.93,Nissan,Quest,Sheffield,"Ruecker, Wunsch and Hansen",563 Kennedy Lane
156,478,92292.44,Ford,F250,Edinburgh,McLaughlin and Sons,4425 Loeprich Circle
157,898,154154.47,Dodge,Stratus,Bradford,Kozey-DuBuque,4087 Golf Course Pass
158,416,200244.22,Jeep,Wrangler,Sheffield,Mraz-Green,7733 Kensington Hill
159,538,159107.71,Mitsubishi,Galant,London,"Hessel, Wolf and Brekke",67 Dakota Hill
160,23,139739.39,Toyota,Xtra,Brighton,Mills-Ziemann,284 Dwight Place
161,486,108399.15,Dodge,Ram Van 2500,London,O'Reilly-Orn,99 Crest Line Crossing
162,609,44042.46,Ford,F250,York,Corkery-Langosh,5 Loftsgordon Court
163,407,141206.20,Honda,CR-V,Leeds,Powlowski-Kirlin,10163 Namekagon Plaza
164,948,108487.14,Mitsubishi,Galant,Sheffield,Hintz Inc,863 Texas Lane
165,568,137577.12,Ford,E-Series,Sheffield,Fisher-Waelchi,286 Di Loreto Plaza
166,750,133187.21,Kia,Mentor,Sheffield,O'Keefe and Sons,286 Forest Dale Hill
167,93,67908.09,Ford,E-Series,London,"Okuneva, Bailey and Kessler",8096 Duke Way
168,963,159259.54,Jeep,Patriot,York,Kris Inc,15645 Crownhardt Avenue
169,164,111227.82,Aston Martin,V12 Vantage,London,Kutch-Romaguera,67644 Prentice Junction
170,669,178652.12,Chevrolet,Monte Carlo,London,O'Keefe Inc,643 Burning Wood Circle
171,713,108215.78,Porsche,Boxster,London,Friesen Group,70 Anhalt Place
172,486,67557.03,GMC,Safari,Leeds,"DuBuque, Zieme and Olson",917 Northridge Road
173,416,212368.58,Mitsubishi,Truck,London,"Schowalter, Kuvalis and Veum",09899 Bashford Hill
174,375,145981.50,Ford,Galaxie,London,Runolfsdottir-Bogisich,21 Texas Avenue
175,800,56606.61,Aston Martin,DBS,London,Weissnat Group,2 Knutson Drive
176,829,64176.13,Mitsubishi,Pajero,Edinburgh,Smitham Inc,559 Green Place
177,874,146418.94,Ford,Focus,Exeter,Leannon-Prohaska,4 Sutherland Circle
178,167,162351.61,Ford,Mustang,York,"Roberts, Erdman and Prosacco",05 Cherokee Crossing
179,81,87704.94,Oldsmobile,Aurora,London,"Maggio, Jerde and Reichel",2272 Valley Edge Pass
180,164,142376.56,Ford,F-Series,Swindon,"Simonis, Grant and Bahringer",0 Bowman Alley
181,408,184623.95,Dodge,Dakota,Bath,Walker-Bruen,29420 Tennyson Hill
182,396,38272.27,MINI,Clubman,York,"Bergnaum, Kreiger and Cormier",57639 Straubel Pass
183,860,72853.71,Mazda,B-Series,Leeds,"Hermann, Fay and Rosenbaum",2 Derek Lane
184,445,101721.73,Volkswagen,Jetta,Sheffield,"Lockman, Monahan and Tillman",52 Browning Hill
185,595,188150.35,Buick,Park Avenue,London,Schoen Group,80 Oneill Road
186,516,40180.44,GMC,Sierra 1500,London,O'Reilly-Wolff,9 International Avenue
187,651,64745.05,Volvo,V70,Leeds,Beer-Flatley,961 Bobwhite Hill
188,828,55368.13,Toyota,4Runner,Leeds,Hegmann LLC,30273 Havey Center
189,821,28491.87,Toyota,Tundra,London,"Paucek, Kassulke and Murray",12 Lighthouse Bay Drive
190,460,69963.41,Chevrolet,Malibu,London,Becker Group,4683 Hintze Circle
191,292,202281.07,Mercedes-Benz,R-Class,York,Kuhic-Rice,24905 Roxbury Crossing
192,961,159521.76,Mitsubishi,Cordia,London,Haag LLC,488 Burning Wood Junction
193,357,17634.25,Chevrolet,Monte Carlo,Edinburgh,Gerhold-O'Keefe,84 Welch Trail
194,502,183296.97,Dodge,Ram Van 3500,Leeds,Murray Group,258 Loftsgordon Trail
195,517,34534.01,Pontiac,G8,Bristol,Romaguera-Homenick,6875 Shasta Circle
196,332,168225.46,Chevrolet,Astro,London,Anderson Inc,30 Tomscot Alley
197,540,192078.96,Maybach,62,Sheffield,"Beatty, Kub and Lueilwitz",1418 Morningstar Trail
198,295,201703.53,Mitsubishi,Galant,Sheffield,Fritsch Group,307 Sunbrook Crossing
199,778,182014.64,Ford,Ranger,Sheffield,Huels LLC,0774 New Castle Alley
200,164,59526.62,Pontiac,Aztek,Leeds,"Spencer, Watsica and Ullrich",7 International Park
201,508,198831.32,Ford,Bronco,Sheffield,Gleason-Rolfson,97 Ridgeway Center
202,778,64912.28,Mazda,MX-6,Edinburgh,Littel Group,50904 Clarendon Road
203,347,16871.68,Volvo,S70,London,Bauch LLC,920 Fieldstone Pass
204,219,168723.01,Hyundai,Elantra,London,Douglas Group,63 Ridgeview Terrace
205,543,203254.03,BMW,X5,London,"Kuhlman, Fisher and O'Conner",51872 Forest Run Lane
206,693,129416.59,Dodge,Ram 1500,London,"Bradtke, Larson and Schuster",4314 Little Fleur Park
207,747,74727.78,Infiniti,G37,Bristol,"Hilll, Ernser and Koepp",41061 Maple Crossing
208,509,175591.66,Porsche,911,Swindon,Parker LLC,3 Commercial Plaza
209,916,184422.63,Jaguar,S-Type,York,Olson-Rutherford,4044 Sauthoff Way
210,965,91906.32,Buick,Regal,York,Dietrich-Pagac,452 Waywood Place
211,141,22861.38,BMW,Z8,London,Goldner Group,804 Spohn Junction
212,41,93283.95,Ford,Bronco,London,Kozey LLC,984 Oneill Trail
213,827,204916.74,Volkswagen,New Beetle,Leeds,Kub-Ryan,08 Carberry Center
214,710,188629.41,Acura,Integra,Edinburgh,Marks and Sons,043 Hooker Alley
215,428,204314.02,Hyundai,Scoupe,London,Ward and Sons,56 Rieder Terrace
216,508,109850.97,Pontiac,Vibe,Leeds,Zboncak-Rogahn,52086 Esch Alley
217,890,126444.87,Plymouth,Voyager,London,Frami-Hermiston,1053 Boyd Drive
218,98,110983.40,Volkswagen,Cabriolet,Leeds,Wolff and Sons,97 Dawn Crossing
219,264,176299.77,GMC,Yukon,Leeds,"Ankunding, Schneider and Bergstrom",44043 Prairieview Plaza
220,36,182064.76,Mazda,B-Series,Bristol,Friesen-Kreiger,1688 Lawn Drive
221,432,166329.62,Toyota,Celica,London,"Gleason, Gorczany and Ruecker",25 Village Green Hill
222,613,115645.38,GMC,2500 Club Coupe,Sheffield,Ledner and Sons,0 Onsgard Crossing
223,839,217641.29,Chevrolet,Astro,London,Wyman LLC,90 Melody Lane
224,132,113420.89,Chrysler,Sebring,Sheffield,Bechtelar Inc,4 Nancy Alley
225,236,203222.27,Pontiac,Bonneville,Sheffield,"Hilll, Weimann and Hilpert",7910 Warbler Alley
226,120,125641.82,Acura,RL,London,Boyle Inc,67956 Nobel Way
227,414,74357.53,Toyota,Land Cruiser,Bradford,Greenfelder-Roberts,33933 Grim Center
228,402,106201.73,Honda,Passport,London,Cole and Sons,2434 Corben Pass
229,931,162880.54,Pontiac,Sunfire,York,Little and Sons,34867 Sauthoff Circle
230,883,179720.49,Mercedes-Benz,SLK-Class,York,Spinka-Hane,5 Aberg Hill
231,713,59915.38,Suzuki,Grand Vitara,Bradford,Gerhold-MacGyver,291 Mallard Way
232,841,114168.14,Suzuki,Grand Vitara,Exeter,Fahey and Sons,0 Elka Junction
233,581,16497.38,Honda,Accord,York,Rolfson-Wisozk,7325 Stephen Park
234,557,70642.54,Hyundai,Entourage,London,"Willms, Mante and Dickinson",8472 Fallview Circle
235,533,200943.28,Honda,Prelude,York,MacGyver and Sons,49 Chive Place
236,188,195463.27,Chevrolet,TrailBlazer,Leeds,"Collier, Muller and Weissnat",0 Northview Way
237,219,200951.69,Mercedes-Benz,Sprinter 2500,Exeter,Bode Inc,152 Waxwing Avenue
238,268,190776.51,Bentley,Azure,York,"Hoppe, Grimes and Veum",5 Montana Alley
239,143,90868.41,Mercury,Grand Marquis,Bradford,"Morar, Lynch and Lebsack",57797 Mariners Cove Place
240,204,25271.98,Dodge,Charger,York,Heidenreich Inc,9692 Ridgeway Drive
241,57,50193.30,Mercury,Tracer,London,Kreiger-Gutkowski,77146 Little Fleur Crossing
242,671,38656.07,Lotus,Esprit,Leeds,Lang LLC,29 Anniversary Terrace
243,972,107587.00,Pontiac,Monterey,York,Jacobson-Jones,1011 Scott Trail
244,250,58672.27,Ford,Thunderbird,London,Cole-Wolff,7333 Lawn Avenue
245,158,51177.91,Toyota,Truck Xtracab SR5,Leeds,"Balistreri, Towne and Price",022 Jenifer Trail
246,85,48533.37,BMW,M5,Exeter,Feil Group,4204 Porter Trail
247,461,171522.63,Toyota,Sequoia,Sheffield,"Nienow, Lang and McCullough",82 Huxley Point
248,771,60173.97,Dodge,Sprinter,London,"Kozey, Romaguera and Cormier",81654 Ruskin Point
249,135,24033.64,Toyota,Celica,York,Bechtelar LLC,9 Kinsman Alley
250,142,130860.83,Nissan,370Z,London,Feil-Huel,44 Toban Court
251,786,35565.28,Chevrolet,Avalanche,Swindon,McCullough LLC,9303 Cherokee Pass
