mmsi,shipname,callsign,flag,imo,first_timestamp,last_timestamp
257797000,DOENNLAND,LCUL,NOR,9632569,2012-09-16T07:51:21Z,2018-06-30T23:59:51Z
258161000,SEIVAAG,LHDO,NOR,7712913,2012-01-08T12:07:51Z,2018-06-30T23:57:08Z
259078000,BJORGPAULINE,LFEG,NOR,9544671,2012-01-24T22:58:29Z,2018-06-30T23:59:01Z
259091000,OEYLAKS,3YWB,NOR,9606211,2012-02-25T11:34:16Z,2017-07-28T13:13:27Z
259555000,FAEROY,LJPL,NOR,9201891,2012-01-01T17:06:12Z,2012-07-19T15:35:47Z
258818000,SILVER HORN,LAKU6,NOR,8907204,2012-01-01T00:17:38Z,2018-06-30T23:40:55Z
258963000,GREENCONCORDIA,LASW7,NOR,9011038,2013-09-09T12:06:15Z,2015-05-13T12:40:16Z
353828000,HAI YING,3EHM8,PAN,8319598,2013-05-30T04:50:02Z,2016-09-09T11:17:53Z
353901000,HONG YING,H9OQ,PAN,9097056,2012-01-08T02:30:51Z,2018-06-29T20:34:26Z
354696000,MIG,NA,PAN,7302548,2012-04-13T01:59:00Z,2014-05-20T05:44:23Z
356567000,SOC GLORY,3ELL9,PAN,9815305,2017-12-05T02:02:28Z,2018-05-14T14:16:00Z
1193046,MONTECRUZ,3FUH5,PAN,7710276,2013-01-11T05:37:04Z,2017-04-24T18:55:51Z
352545000,MONTECRUZ,3FUH5,PAN,7710276,2012-01-01T11:18:33Z,2018-06-30T14:28:16Z
37404800,SHIN HO CHUN NO. 101,3FRF9,PAN,9220653,2015-07-17T05:41:12Z,2017-11-23T00:33:42Z
374048000,SHIN HO CHUN NO. 101,3FRF9,PAN,9220653,2015-07-17T10:18:44Z,2018-06-30T21:41:52Z
354666000,FRIO AEGEAN,3FGY4,PAN,9076260,2012-01-01T00:35:10Z,2013-05-15T20:05:17Z
356673000,SARONIC BAY,H3PP,PAN,9175274,2012-01-04T15:29:31Z,2013-08-17T09:54:21Z
352864000,FRIO ANTARCTIC,3FZS3,PAN,9076258,2012-01-04T00:32:13Z,2013-03-11T13:19:55Z
354034000,PALOMA REEFER,HO2430,PAN,9309681,2012-01-02T17:14:48Z,2013-04-10T07:37:51Z
355636000,PALOMA REEFER,HP7151,PAN,9309681,2014-09-03T08:13:14Z,2018-06-30T23:49:12Z
352308000,PRINCESA GUASIMARA,3ECO,PAN,9442237,2014-12-09T13:09:35Z,2018-06-30T23:37:50Z
356728000,DON REEFER,3ETB8,PAN,9035072,2015-12-30T18:05:23Z,2018-06-30T22:02:35Z
371812000,FRIO POSEIDON,3EHL5,PAN,8807662,2014-09-15T23:24:17Z,2018-06-23T17:30:18Z
357670000,SARONIC BREEZE,HOBH,PAN,9041540,2012-02-08T12:29:14Z,2013-11-18T19:02:43Z
371156000,SARONIC BREEZE,H9PE,PAN,9041540,2014-06-03T01:04:46Z,2018-06-30T23:54:56Z
371717000,HAI FENG 698,3FSJ2,PAN,8422711,2015-01-17T05:20:16Z,2018-06-30T20:05:46Z
353709000,ARCTIC,3FXC8,PAN,8223464,2012-01-02T09:35:27Z,2013-12-23T05:11:44Z
356986000,DESIGNER KNYSH,HPZK,PAN,9175286,2012-01-01T04:29:44Z,2013-10-11T01:30:14Z
352055000,ARKADIJA,3EHJ9,PAN,9057393,2012-01-01T01:18:36Z,2014-06-18T01:50:34Z
352966000,FRIO LAS PALMAS,3FJQ3,PAN,9082178,2012-01-13T00:36:45Z,2012-10-04T10:27:33Z
353585000,CANARIANREEFER,3FCC7,PAN,9081655,2012-01-01T11:42:34Z,2012-09-13T13:35:06Z
357889000,WASHINGTON,HOZO,PAN,8710352,2012-01-09T18:42:49Z,2013-02-14T08:37:39Z
352367000,FRIO SEVASTOPOLIS,3EUP9,PAN,8860432,2012-01-01T00:04:56Z,2014-02-25T01:09:07Z
354408000,CAPTAINMOKEEV,3FAO8,PAN,9081667,2012-01-04T01:49:28Z,2017-01-29T18:56:33Z
371223000,FAST,3EBT2,PAN,8404575,2013-07-18T01:25:50Z,2014-08-07T11:01:03Z
355658000,GRACE II,3EFI6,PAN,9061899,2012-01-05T15:52:23Z,2016-05-11T01:05:11Z
356567000,SHANGHAI REEFER,HPXZ,PAN,9010785,2012-01-01T06:20:58Z,2017-03-29T13:09:35Z
351747000,ASIANORCHID,3FSS8,PAN,9196357,2012-01-04T17:00:14Z,2012-04-15T00:38:22Z
351747000,FRIO AEGEAN I,3FSS8,PAN,9196357,2012-05-21T18:52:03Z,2016-01-05T14:44:59Z
353019000,FRIO CANARIAS,3FZW3,PAN,8502432,2012-01-01T00:34:30Z,2016-05-23T01:15:08Z
354811000,TAGANROGSKIYZALIV,3FAZ9,PAN,9016973,2016-10-29T23:25:40Z,2017-02-17T04:56:02Z
354604000,FINO,3FTS4,PAN,9109500,2012-01-19T18:42:18Z,2014-09-07T20:42:55Z
356517000,ASIAN COSMOS,3FLM8,PAN,9172698,2012-01-05T21:51:10Z,2017-06-23T06:28:55Z
373755000,FRIO IONIAN,3FUZ,PAN,9014793,2016-09-16T13:30:47Z,2017-01-19T23:42:39Z
373039000,HAI FENG 688,3FDH6,PAN,9016985,2014-07-10T07:11:28Z,2018-06-29T04:24:59Z
371210000,RAINFROST,3EGY7,PAN,8521804,2012-01-01T00:02:18Z,2013-07-05T14:03:56Z
374115000,SEA GLORY II,3FKX4,PAN,9009695,2015-09-28T22:20:46Z,2018-06-30T23:59:47Z
372538000,HUAN YU 1,3EKK9,PAN,8618865,2014-04-25T18:25:41Z,2018-06-30T23:55:22Z
374198000,HAI FENG 718,3FIC4,PAN,9135169,2015-11-09T15:18:30Z,2018-06-30T23:55:46Z
352610000,MARBELLA CARRIER,3FJE9,PAN,9063653,2013-03-13T03:54:57Z,2018-06-30T23:42:55Z
370305000,MURCIA CARRIER,3FJZ2,PAN,9063665,2013-03-14T02:44:48Z,2018-06-28T21:44:19Z
354871000,FRIO OCEANIC,3FYF8,PAN,8801814,2014-07-18T01:13:22Z,2018-06-30T19:01:42Z
370190000,SEA PEARL I,H8MF,PAN,9008639,2016-09-11T16:58:47Z,2018-06-30T22:30:58Z
577324000,SEA PEARL I,H8MF,PAN,9008639,2016-09-08T09:07:30Z,2016-09-11T16:44:13Z
354464000,REF LIRA,3FKY4,PAN,9016961,2012-02-01T12:14:02Z,2013-10-30T07:14:37Z
374610000,HAI FENG 678,3FCO5,PAN,9016961,2015-08-01T03:27:05Z,2018-06-30T23:48:01Z
351527000,OCEAN MARINER,H8IL,PAN,8217104,2014-07-27T01:01:15Z,2018-06-29T04:33:59Z
356695424,DAFENG MARINER,3FIO6,PAN,8319031,2012-01-28T05:23:59Z,2012-05-16T02:51:06Z
371718984,DAFENG MARINER,3FIO6,PAN,8319031,2017-06-18T06:45:22Z,2018-04-07T07:47:25Z
371719000,DAFENG MARINER,3FIO6,PAN,8319031,2014-06-26T02:40:47Z,2018-06-30T23:13:12Z
374014000,PONTOS,HONN,PAN,8908739,2015-09-09T06:39:25Z,2018-06-30T23:23:31Z
355720000,GLOBAL MARINER,3EMW4,PAN,8813582,2014-07-31T04:42:32Z,2018-06-30T22:41:27Z
354062000,HAI FENG 668,3EIN8,PAN,8800236,2014-12-30T11:23:41Z,2018-06-30T10:50:47Z
351795000,BELITA,3EZJ8,PAN,8608597,2012-01-01T06:41:14Z,2013-11-25T13:41:33Z
355069000,CHAINAVEE REEFER,H9XR,PAN,7637591,2012-02-01T11:54:40Z,2013-09-21T13:18:35Z
353799000,BLISSFULREEFER,HP5007,PAN,5296795,2012-01-10T14:06:15Z,2014-03-02T21:50:54Z
352739000,HAIFENG898,3ENU6,PAN,8420751,2012-01-01T00:39:33Z,2013-06-28T04:56:17Z
351336000,FRIO NAGATO,H3QQ,PAN,9227596,2016-07-13T07:03:19Z,2018-06-30T16:50:40Z
351350000,NO.2 JOCHOH,3FVR4,PAN,9698343,2013-12-13T06:15:10Z,2018-06-30T23:51:02Z
351370000,DONA LIBRA,3FPF3,PAN,8612304,2012-02-26T11:52:13Z,2017-01-29T18:57:31Z
351478000,ATMODA,3FNT8,PAN,8908076,2012-01-01T00:35:15Z,2018-06-30T22:31:31Z
351493000,DROVER,HP7289,PAN,8210338,2013-07-29T05:40:06Z,2015-05-02T04:33:15Z
351493000,VAGRAND,HP7289,PAN,8210338,2012-01-30T04:37:25Z,2015-08-13T06:12:01Z
351537000,RUI SHENG,3FOH6,PAN,8688755,2016-06-24T08:40:49Z,2018-06-30T23:57:48Z
374030000,SYOTA MARU,H9NZ,PAN,9087908,2015-11-03T06:21:51Z,2018-06-30T23:53:34Z
351763000,SHIN HANG,3FRT,PAN,8214839,2012-01-01T01:43:34Z,2018-06-29T17:20:10Z
351776000,MING HANG,3FIY4,PAN,8130837,2012-01-01T00:37:54Z,2018-03-28T07:01:58Z
351817000,WHITE DOLPHIN,3EVO6,PAN,8807430,2012-01-09T17:02:48Z,2014-04-02T02:23:30Z
351822000,TAI FU NO. 3,H3AI,PAN,7927453,2016-12-06T02:08:50Z,2018-06-28T00:44:33Z
372825000,CHAN HAN 6,3FJL9,PAN,7812074,2015-07-17T07:42:52Z,2018-06-30T23:41:01Z
352085000,HUA FU 107,3FDZ4,PAN,8518819,2012-01-10T23:19:09Z,2018-06-30T23:52:27Z
352135000,WIN UNI,3EFL4,PAN,7302299,2012-01-02T16:00:02Z,2017-03-06T21:11:57Z
352199000,SEA TRADER I,HODS,PAN,8919893,2016-04-29T17:56:28Z,2018-06-30T23:47:05Z
352241000,TUNA PRINCESS,H3CN,PAN,9314612,2015-04-04T00:13:07Z,2018-06-30T23:22:56Z
352247000,FONG KUO NO. 818,3EPS8,PAN,8904070,2012-08-03T23:18:49Z,2018-06-30T23:45:30Z
352256000,SASANQUA,3FFV3,PAN,9061904,2012-01-15T16:48:20Z,2018-03-09T00:42:58Z
352349000,FRIO SHINANO,3FNR3,PAN,9073385,2012-10-03T01:49:28Z,2018-06-30T23:07:51Z
352351000,AVUNDA REEFER,3EJD5,PAN,9072824,2015-01-29T17:09:25Z,2018-06-22T02:14:15Z
352408000,WILD LOTUS,3FUT8,PAN,9181168,2012-01-02T05:11:29Z,2018-06-30T14:16:46Z
352475000,DINOK,HOAJ,PAN,8908234,2012-01-02T12:55:25Z,2018-06-30T10:53:36Z
800022379,DINOK,HOAJ,PAN,8908234,2014-05-23T01:35:13Z,2014-05-31T23:04:12Z
352515000,FRIO PACIFIC,HOAL,PAN,8324244,2012-01-06T21:38:24Z,2016-05-04T11:05:21Z
352533000,VIVA 106,3EGN7,PAN,8122385,2012-01-03T15:43:19Z,2018-06-30T19:02:26Z
352656000,NEW PROSPERITY,3FOZ8,PAN,9172442,2012-01-14T11:19:22Z,2013-07-11T16:44:06Z
352769000,XUE LIN,3FVB3,PAN,8203816,2012-01-01T09:04:21Z,2014-12-16T03:59:54Z
354461000,XING YUN,3FVB3,PAN,8203816,2014-12-19T19:32:53Z,2018-06-30T23:43:42Z
354463048,XING YUN,3FVB3,PAN,8203816,2018-04-11T23:59:33Z,2018-06-05T01:28:04Z
352784000,FRIO ANTWERP,3FVX3,PAN,9078282,2012-01-01T17:04:55Z,2018-06-30T14:55:46Z
352796000,KHANA,3EYB6,PAN,8810645,2013-07-19T03:39:01Z,2018-06-30T07:44:44Z
352844000,JACHA,3EFC4,PAN,8512920,2012-01-03T16:47:04Z,2018-06-30T23:37:51Z
352894000,TUNA QUEEN,HPFK,PAN,9278612,2012-01-02T17:21:53Z,2018-06-30T23:50:37Z
353185000,KURIKOMA,3FTS6,PAN,9145920,2012-01-26T02:00:09Z,2018-06-30T23:58:44Z
353211424,FONG QUN,3EDM9,PAN,7920728,2015-04-09T08:33:57Z,2015-08-31T07:33:32Z
354260000,FONG QUN,3EDM9,PAN,7920728,2012-06-13T03:19:35Z,2015-04-09T08:06:57Z
353242000,OSTROV BERINGA,3FHP2,PAN,8517815,2012-01-02T12:59:59Z,2018-06-18T22:26:59Z
353306000,FRIO CHIKUMA,3FWG8,PAN,9184536,2012-06-27T08:25:57Z,2018-06-30T13:44:43Z
353482000,TAI NING,3ERF3,PAN,8217116,2017-01-14T01:40:04Z,2018-06-22T20:34:48Z
374505000,ISLEMAN,3FWT,PAN,8814902,2016-03-09T08:06:47Z,2018-04-01T17:57:19Z
353631000,ASARI,HO6144,PAN,8725814,2012-01-03T16:43:20Z,2015-03-06T22:15:10Z
353670000,HARVESTS,HO7915,PAN,8223804,2012-01-09T10:18:43Z,2018-02-05T01:54:28Z
353692000,ASAHI,3FJF4,PAN,9004657,2012-01-03T20:27:22Z,2014-03-31T10:04:59Z
353773000,ASIAN BRIER,3FTB8,PAN,9172703,2012-01-01T08:47:31Z,2018-04-17T00:32:28Z
353937000,SANWA FONTAINE,3FMK4,PAN,8204121,2012-01-01T23:41:01Z,2018-06-30T23:41:01Z
353981000,FRIO HELLENIC,3FVQ8,PAN,9081679,2012-01-01T10:56:16Z,2018-06-30T23:58:04Z
353982000,FRIO ATHENS,3FAX7,PAN,8710340,2016-10-14T08:58:59Z,2018-06-26T20:11:51Z
354036000,PLATTE REEFER,3FUT6,PAN,7812098,2012-01-03T22:07:24Z,2018-06-30T12:41:15Z
354102000,RYOMA,H3IZ,PAN,9133305,2012-01-02T10:23:24Z,2013-06-28T20:42:57Z
371727000,RYOMA,3ELZ5,PAN,9133305,2016-12-09T02:07:56Z,2018-06-30T23:47:46Z
354240000,CRYSTAL REEFER,3FFY5,PAN,9017276,2015-01-31T23:43:15Z,2017-03-10T01:21:55Z
354469000,HAI FENG 658,3EHB6,PAN,8710209,2012-01-05T14:15:59Z,2018-06-29T00:58:05Z
354493000,MABAH,3FSC4,PAN,9105358,2012-02-23T23:32:59Z,2018-06-30T23:40:14Z
354569000,REF VEGA,3FKW4,PAN,8422709,2012-01-03T23:40:54Z,2012-06-05T16:21:39Z
354570000,REFSTAR,3FKX4,PAN,8415550,2012-01-10T11:48:33Z,2012-03-03T21:44:54Z
354617000,DA PING 1,H8TO,PAN,8011029,2012-01-08T01:54:22Z,2014-10-12T11:43:52Z
355665576,DA PING 1,H8TO,PAN,8011029,2012-06-01T13:15:29Z,2014-12-16T01:48:55Z
354655000,REINA CRISTINA,3ERM8,PAN,9011301,2012-01-12T12:49:08Z,2018-06-30T21:35:39Z
354667000,ORIONS,3FTH4,PAN,8513869,2012-01-02T21:48:58Z,2014-09-05T23:03:58Z
354670000,SHENXING,HOFG,PAN,8221947,2012-10-27T00:51:33Z,2013-04-11T06:41:41Z
354670000,SUNFUFA,NA,PAN,8221947,2012-10-21T02:43:16Z,2012-11-09T21:22:11Z
374083000,PS REEFER,3FRQ5,PAN,8221947,2015-08-31T14:26:15Z,2018-06-30T22:29:16Z
354683000,EITA MARU,HPLA,PAN,9109287,2012-01-01T03:18:35Z,2018-06-30T23:54:25Z
354716000,HAI FENG 648,3EHA6,PAN,8710132,2012-01-01T03:19:50Z,2018-06-30T23:30:42Z
354874000,KENTA MARU,3FXQ4,PAN,8615784,2012-01-01T03:28:36Z,2018-06-29T11:13:11Z
355085424,LIANRUN,3EJR7,PAN,7624271,2013-12-02T07:58:08Z,2017-04-10T10:19:50Z
356134000,LIAN RUN,3EJR7,PAN,7624271,2012-01-02T15:40:42Z,2013-12-01T00:00:25Z
355141000,YUNG DA FA 102,3FEJ5,PAN,8323599,2012-01-03T15:36:13Z,2018-04-18T04:25:05Z
355199000,SALGIR,3FYM4,PAN,9142289,2012-01-03T06:57:13Z,2018-06-30T19:44:39Z
355295000,FARO,H3LU,PAN,9174701,2012-01-10T14:35:56Z,2018-06-21T07:03:49Z
355317000,ORIENTAL CHILAN,3FHF5,PAN,8301723,2012-01-07T21:46:21Z,2018-06-30T21:05:00Z
355357000,BRILLIANT REEFER,HO5625,PAN,6400563,2012-01-12T17:23:56Z,2012-08-10T07:09:31Z
355513000,YUNG DA FA 108,3EAX9,PAN,9016076,2012-01-02T15:53:45Z,2018-06-29T14:56:24Z
355643000,SEA MARK,3FUJ9,PAN,8317423,2012-01-01T01:24:34Z,2018-06-30T23:57:21Z
355802000,NEW TAKATSUKI,3EFN9,PAN,9015838,2012-01-01T02:33:21Z,2018-06-30T13:27:23Z
355813000,KAI CHENG,3FAA6,PAN,8021892,2012-01-01T03:17:42Z,2018-06-14T17:16:04Z
374446000,HARU,3EHZ8,PAN,9241932,2016-01-12T03:47:59Z,2018-06-30T23:55:27Z
355855000,MONTELAURA,3FRF5,PAN,7625500,2012-03-26T03:44:10Z,2018-06-30T23:41:43Z
355874000,JONATHAN ACE,3FPM2,PAN,8221595,2012-01-01T08:53:54Z,2018-06-30T16:08:05Z
355894000,MONTESOL,3FRZ5,PAN,7721067,2012-01-01T00:06:25Z,2013-10-05T12:48:40Z
355966000,JOCHOH,3FTG5,PAN,9126261,2012-01-03T16:42:23Z,2018-05-30T00:28:55Z
356065000,SURUGA 1,H3OD,PAN,9109263,2012-01-01T05:18:23Z,2018-03-12T15:40:34Z
356386000,SUAH,HOZZ,PAN,9000376,2012-01-03T16:45:12Z,2018-06-30T23:44:35Z
356386002,SUAH,HOZZ,PAN,9000376,2015-03-06T06:49:24Z,2015-03-17T19:55:20Z
356514000,HAI FENG 618,3FHE6,PAN,9035084,2012-01-10T15:30:23Z,2018-06-30T03:37:05Z
356591000,WIN SHENG,3FWH6,PAN,7810571,2012-01-03T12:12:14Z,2018-06-30T05:36:52Z
356609000,FRIO LAS PALMAS,3EBI9,PAN,8908193,2014-12-02T15:58:37Z,2018-06-30T23:43:04Z
356616000,DHARA,3EQZ7,PAN,8904941,2015-07-16T06:47:32Z,2017-01-04T00:09:41Z
356616000,SAMPAQUITA,3EQZ7,PAN,8904941,2012-01-01T07:06:46Z,2015-07-16T06:31:20Z
356636000,NO.1 BARON,3FMM7,PAN,8911619,2013-08-10T02:26:05Z,2018-06-30T23:41:32Z
356878000,ATLANTIC HOPE,3FOZ2,PAN,8318659,2012-01-01T04:08:48Z,2013-12-25T19:18:24Z
356878000,SHINHANG6,3FOZ2,PAN,8318659,2013-10-06T04:45:09Z,2018-05-13T06:27:08Z
356889000,ANGARA,3FVD,PAN,9136890,2013-01-24T06:51:06Z,2018-06-30T23:45:21Z
356962000,URUGUAY REEFER,3FNJ,PAN,9017264,2015-02-05T17:11:14Z,2017-05-08T09:28:59Z
357020000,TIARA 108,3FQH9,PAN,8420763,2012-01-02T15:58:17Z,2018-06-30T09:50:56Z
357058000,NO.2 POHAH,3FWC9,PAN,9227601,2013-07-14T14:36:19Z,2018-06-30T23:55:01Z
357497000,TAI JI,3FYZ6,PAN,8804244,2012-01-05T15:53:39Z,2018-06-30T01:20:22Z
357642000,FRIO SPAIN,HOYR,PAN,8303903,2012-01-01T00:01:28Z,2013-01-10T08:35:24Z
357676000,ASIAN ADONIS,3FQG9,PAN,9196424,2012-01-18T00:18:23Z,2018-06-30T23:49:51Z
357735000,FRIO MOGAMI,3FSC9,PAN,9184548,2012-07-29T03:26:30Z,2018-06-30T23:47:08Z
357772000,ALCANTARACARRIER,3EUJ3,PAN,8609979,2012-01-13T19:09:40Z,2015-02-11T05:28:13Z
374830000,SEIN GRACE,3EFA6,PAN,8609979,2016-04-23T15:26:20Z,2018-06-16T14:26:25Z
357788000,MIYABI,3FTI9,PAN,8808252,2012-01-03T10:11:32Z,2014-12-15T01:31:47Z
357788000,VICTORIA NO. 168,3FTI9,PAN,8808252,2014-12-15T01:53:33Z,2018-06-30T23:53:39Z
357805000,SKYFROST,3FTR9,PAN,8521830,2012-01-10T11:48:53Z,2018-06-30T23:45:02Z
370070000,FONG KUO NO. 819,3FCY3,PAN,8913992,2012-01-01T23:39:45Z,2018-06-30T23:36:39Z
371118580,FONG KUO NO. 819,3FCY3,PAN,8913992,2012-06-26T03:56:16Z,2012-07-03T15:15:29Z
370115000,NESTOS REEFER,3EAJ9,PAN,9045156,2015-01-09T09:20:09Z,2018-06-30T23:17:31Z
370599000,IBUKI,3ELC8,PAN,9666481,2014-12-08T02:07:32Z,2018-06-30T20:37:38Z
370866000,SEIWA,3FDT5,PAN,9021277,2015-04-03T06:40:39Z,2015-08-19T07:56:01Z
370890000,FORTUNA REEFER,3EVW4,PAN,7908770,2016-08-09T18:06:44Z,2018-06-29T06:02:46Z
370981000,ANGEL I,HOYH,PAN,8223488,2012-01-03T13:57:39Z,2018-06-30T23:51:11Z
371100000,YUNG DA FA 101,HPQB,PAN,8508840,2015-05-19T01:31:21Z,2018-06-30T00:17:54Z
371322000,HAI FENG 895,3ECC7,PAN,8814237,2012-01-01T00:32:48Z,2018-06-30T21:01:20Z
371335000,HAI FENG 628,3FEO6,PAN,8317356,2012-01-01T01:45:48Z,2018-06-19T14:31:37Z
371542000,NO.1 POHAH,3FSS6,PAN,8714944,2013-08-15T01:59:26Z,2018-06-30T21:22:18Z
371565000,TAI XING,3EZQ5,PAN,8210273,2016-06-01T03:25:02Z,2018-06-25T18:59:07Z
371785000,TALOFA,3FKN7,PAN,8223311,2017-03-27T20:55:51Z,2017-08-21T11:12:35Z
371790000,KAI DE,H3XA,PAN,8421286,2012-01-27T01:53:47Z,2018-06-30T23:57:12Z
372107000,FRIO OLYMPIC,3FTF9,PAN,8801802,2017-01-05T20:14:34Z,2018-06-30T23:37:30Z
372199000,GIRALDACARRIER,3FTJ4,PAN,8609981,2012-01-18T07:14:57Z,2015-05-25T08:55:36Z
372199000,SEIN PRINCESS,3FTJ4,PAN,8609981,2015-05-25T09:25:31Z,2018-06-30T23:44:20Z
372210000,SEA STAR V,3EYI5,PAN,8914221,2016-06-17T03:15:45Z,2018-06-30T23:24:21Z
372594000,EURO STAR,3EJQ3,PAN,8319055,2012-01-08T12:48:41Z,2018-06-30T18:23:38Z
372886000,CHANG SHUN 1,3EKZ8,PAN,8976841,2012-01-01T08:16:04Z,2018-06-17T08:38:15Z
372910000,HAI FENG 638,3EVC7,PAN,8613920,2012-01-01T05:16:03Z,2018-06-30T23:54:10Z
373246000,LUCENA CARRIER,3FXS9,PAN,9179402,2012-09-17T09:08:39Z,2018-06-30T23:44:46Z
373443000,FRIO ATLANTIC,3EXR3,PAN,8911487,2012-01-05T09:13:57Z,2016-08-17T04:27:33Z
373451000,ZEFYROS REEFER,3FPL2,PAN,8916748,2016-11-29T06:55:14Z,2018-06-25T15:41:00Z
373731000,FRIOANTARCTIC1,3FDB6,PAN,8807466,2012-01-03T11:55:37Z,2014-09-03T00:55:23Z
374478000,FRIO ANTARTIC,3FAR4,PAN,8807466,2016-01-12T04:51:33Z,2018-06-30T23:24:13Z
373897000,FRIO DOLPHIN,3EDI8,PAN,8807442,2016-10-05T17:04:37Z,2018-06-29T05:40:28Z
373962000,ARACENA CARRIER,3FYV8,PAN,9179397,2012-09-18T21:16:33Z,2018-06-30T23:47:45Z
374045000,HAI SHUN 158,HP6825,PAN,9011911,2015-11-16T22:56:45Z,2018-06-25T23:57:37Z
374140000,SHIN HO CHUN NO. 102,3FEQ5,PAN,9262182,2015-08-19T02:39:52Z,2018-06-30T00:27:57Z
374173000,HAN XING,3FYT4,PAN,9586332,2015-10-18T03:17:02Z,2018-06-30T10:00:39Z
374244000,HIKARI 1,3EYH9,PAN,9293313,2015-11-21T01:46:26Z,2018-06-28T13:13:30Z
374290000,MING HANG 8,HPNW,PAN,8224432,2015-11-28T05:58:53Z,2018-06-30T23:52:22Z
374317000,TAI FU NO. 1,3ECZ6,PAN,7908976,2015-08-31T06:05:23Z,2018-06-30T23:57:45Z
374321000,IRIS REEFER,3FGM3,PAN,8513039,2015-12-25T17:19:48Z,2018-06-30T23:54:05Z
374410000,YONG XIANG 8,3EML7,PAN,8609280,2015-12-21T22:33:33Z,2018-06-28T15:31:43Z
374445000,QI HANG,3EAT9,PAN,8609292,2016-01-02T06:11:20Z,2018-06-30T21:19:01Z
374611000,LAKE HILL 7,3EYA7,PAN,8028955,2015-10-01T08:16:56Z,2017-07-06T07:59:01Z
374723000,YUN RUN 3,HOAZ,PAN,9161613,2016-03-04T06:33:48Z,2018-06-30T23:55:26Z
374762000,LADY TUNA,3EQX2,PAN,9453418,2015-08-27T01:39:00Z,2018-06-30T23:54:07Z
374831000,ISLAND REEFER,HOFG,PAN,8312461,2016-04-03T09:54:59Z,2018-06-30T01:08:32Z
374849000,HAO XIANG,3EGU9,PAN,7812062,2016-04-25T02:05:19Z,2017-10-15T01:05:59Z
374906000,SHIN FUJI,HPEF,PAN,9140281,2016-04-20T11:29:42Z,2018-06-30T23:42:32Z
371156000,ANDROS,NA,PAN,NA,2013-10-14T21:30:01Z,2014-01-31T09:49:05Z
352360000,DOLLY 798,4DEE3,PHL,7916791,2012-01-13T09:55:21Z,2015-10-29T00:49:28Z
